"dateid01","allords","ftse","nasdaq","nikkei"
7/1/2010,4.2222,6.9373,6.8963,1.6484
8/1/2010,-1.5219,-0.6238,-6.239,-7.4784
9/1/2010,4.4629,6.1892,12.0429,6.1796
10/1/2010,2.0811,2.2817,5.8595,-1.7813
11/1/2010,-1.2042,-2.5885,-0.3661,7.9825
12/1/2010,3.646,6.7218,6.19,2.9373
1/1/2011,0.064,-0.6271,1.7796,0.088
2/1/2011,1.5175,2.2361,3.044,3.772
3/1/2011,0.1016,-1.4214,-0.0431,-8.1794
4/1/2011,-0.6006,2.7264,3.325,0.9702
5/1/2011,-2.2474,-1.3163,-1.3308,-1.5839
6/1/2011,-2.6958,-0.7396,-2.179,1.2623
7/1/2011,-3.4186,-2.1949,-0.618,0.1726
8/1/2011,-2.9019,-7.2345,-6.4186,-8.9274
9/1/2011,-6.8606,-4.9309,-6.3602,-2.8465
10/1/2011,7.135,8.1057,11.1373,3.3114
11/1/2011,-4.0316,-0.6998,-2.3867,-6.1611
12/1/2011,-1.7612,1.2152,-0.5797,0.2459
1/1/2012,5.2226,1.9615,8.0107,4.1058
2/1/2012,1.4425,3.3424,5.4392,10.4599
3/1/2012,0.727,-1.7542,4.2024,3.7058
4/1/2012,1.0679,-0.5322,-1.4624,-5.5801
5/1/2012,-7.4655,-7.2658,-7.1896,-10.2738
6/1/2012,0.0435,4.7041,3.8096,5.4321
7/1/2012,3.7214,1.1506,0.1523,-3.461
8/1/2012,1.1563,1.3522,4.3354,1.6659
9/1/2012,1.551,0.5358,1.6065,0.3422
10/1/2012,2.9299,0.7071,-4.4605,0.6553
11/1/2012,-0.3836,1.4543,1.1087,5.7986
12/1/2012,3.2448,0.5284,0.3079,10.0484
1/1/2013,5.068,6.4278,4.0609,7.1522
2/1/2013,4.4766,1.3366,0.5748,3.7769
3/1/2013,-2.7439,0.8002,3.3963,7.2543
4/1/2013,3.7892,0.287,1.8751,11.8
5/1/2013,-4.9259,2.3794,3.8188,-0.6228
6/1/2013,-2.8205,-5.584,-1.5238,-0.7058
7/1/2013,5.4509,6.5256,6.5561,-0.0658
8/1/2013,1.7793,-3.1445,-1.0065,-2.0446
9/1/2013,1.8028,0.7688,5.059,7.9689
10/1/2013,3.8829,4.1658,3.9303,-0.8845
11/1/2013,-1.9556,-1.2003,3.5763,9.31
12/1/2013,0.7301,1.4811,2.8745,4.0189
1/1/2014,-2.7648,-3.5368,-1.7409,-8.451
2/1/2014,4.0403,4.5973,4.9768,-0.4925
3/1/2014,-0.229,-3.1029,-2.5331,-0.0892
4/1/2014,1.2549,2.7522,-2.0107,-3.532
5/1/2014,0.0548,0.9513,3.1124,2.2949
6/1/2014,-1.6771,-1.4698,3.9023,3.6202
7/1/2014,4.4797,-0.2046,-0.8713,3.0251
8/1/2014,0.0267,1.3328,4.8172,-1.2559
9/1/2014,-5.828,-2.8901,-1.8968,4.8554
10/1/2014,3.9307,-1.1506,3.0567,1.4854
11/1/2014,-3.7584,2.69,3.4744,6.3732
12/1/2014,1.7082,-2.328,-1.1599,-0.052
1/1/2015,3.0249,2.7916,-2.1286,1.2814
2/1/2015,6.2486,2.9232,7.0825,6.3569
3/1/2015,-0.6205,-2.5005,-1.2622,2.176
4/1/2015,-1.5046,2.7698,0.8272,1.6297
5/1/2015,0.0208,0.3419,2.6027,5.344
6/1/2015,-5.6053,-6.6348,-1.6402,-1.5923
7/1/2015,4.2284,2.6882,2.8356,1.7272
8/1/2015,-8.0891,-6.6962,-6.8594,-8.2329
9/1/2015,-3.1309,-2.9818,-3.2733,-7.9528
10/1/2015,4.5467,4.9409,9.3847,9.7477
11/1/2015,-1.3312,-0.0786,1.0867,3.4815
12/1/2015,2.4223,-1.7904,-1.9821,-3.6144
